Num_Of_Room,Area,Age,Apt_Floor,Credit_Eli,Items,Num_of_Bath,Floor_basement,Floor_first floor,Floor_interstage,Floor_top floor,Heat_type_Kombi,Heat_type_Merkezi,Heat_type_Merkezi (Pay Ölçer),Usage_Boş,Usage_Kiracılı,Usage_Mülk Sahibi,Price
3,95.0,27,3,1,1,1,1,0,0,0,1,0,0,0,1,0,1400000
3,80.0,30,3,1,1,1,0,1,0,0,1,0,0,0,1,0,2550000
4,120.0,26,7,1,0,1,0,0,1,0,1,0,0,1,0,0,2925000
4,140.0,13,3,1,0,1,0,0,1,0,1,0,0,1,0,0,3100000
4,125.0,28,5,1,0,2,1,0,0,0,1,0,0,1,0,0,2650000
5,200.0,12,4,1,1,2,0,0,1,0,1,0,0,1,0,0,3100000
4,110.0,3,3,1,1,1,0,1,0,0,1,0,0,1,0,0,1975000
4,140.0,16,4,1,0,1,0,0,1,0,1,0,0,0,1,0,850000
3,100.0,19,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1150000
4,160.0,37,3,1,0,1,0,0,1,0,0,1,0,1,0,0,3500000
3,100.0,3,23,1,0,1,0,0,1,0,1,0,0,0,1,0,998000
3,100.0,25,2,1,0,1,1,0,0,0,1,0,0,1,0,0,1525000
4,130.0,18,10,1,0,2,0,0,1,0,0,1,0,1,0,0,2480000
4,130.0,25,3,1,0,1,0,0,1,0,0,1,0,1,0,0,2450000
4,130.0,25,3,1,0,1,0,0,1,0,0,1,0,1,0,0,2450000
4,130.0,18,10,1,0,2,0,0,1,0,0,1,0,1,0,0,2480000
4,135.0,20,7,1,0,2,0,0,1,0,1,0,0,1,0,0,3650000
4,125.0,23,6,1,0,1,0,0,1,0,1,0,0,0,1,0,1750000
5,240.0,5,13,1,0,2,0,0,1,0,0,0,1,0,1,0,6600000
4,140.0,14,3,1,0,1,0,1,0,0,1,0,0,0,1,0,935000
5,155.0,40,8,1,0,1,0,0,1,0,1,0,0,1,0,0,3175000
4,135.0,32,3,1,0,1,0,0,1,0,1,0,0,1,0,0,3475000
4,165.0,4,5,1,1,1,0,0,1,0,1,0,0,1,0,0,2750000
5,190.0,6,10,1,0,2,0,0,1,0,0,0,1,0,0,1,4050000
4,120.0,9,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1460000
5,190.0,2,16,1,1,2,0,0,1,0,0,0,1,0,0,1,4000000
4,110.0,37,8,1,0,1,0,0,1,0,0,1,0,0,1,0,3200000
4,120.0,40,16,1,0,1,0,0,1,0,0,1,0,0,1,0,3450000
5,165.0,55,3,1,0,1,0,0,1,0,1,0,0,1,0,0,3700000
4,120.0,6,29,1,0,1,0,0,1,0,0,0,1,0,1,0,3825000
3,100.0,45,6,1,0,1,0,0,1,0,0,1,0,1,0,0,2800000
4,145.0,26,2,1,0,2,0,0,1,0,1,0,0,1,0,0,2975000
4,155.0,18,4,1,0,2,0,0,1,0,1,0,0,1,0,0,2475000
4,130.0,27,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2650000
2,103.0,17,6,1,0,1,0,0,1,0,0,0,1,0,1,0,3575000
3,105.0,25,3,1,0,1,0,1,0,0,1,0,0,1,0,0,839000
4,145.0,30,3,1,0,1,0,0,1,0,0,1,0,1,0,0,3275000
4,125.0,25,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1779000
3,115.0,25,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1750000
3,110.0,22,14,1,0,1,0,0,1,0,0,1,0,0,1,0,2600000
4,125.0,25,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1800000
4,135.0,11,4,1,0,1,0,0,1,0,1,0,0,0,0,1,1429000
4,125.0,25,3,1,0,1,1,0,0,0,1,0,0,1,0,0,975000
3,115.0,5,3,1,0,1,0,1,0,0,1,0,0,1,0,0,965000
4,135.0,4,3,1,0,1,0,1,0,0,1,0,0,1,0,0,1215000
4,130.0,16,4,1,0,2,0,0,1,0,1,0,0,1,0,0,1289000
3,90.0,21,4,1,0,1,0,1,0,0,1,0,0,0,1,0,719000
4,140.0,25,4,1,1,1,0,0,1,0,1,0,0,0,0,1,900000
6,230.0,25,2,1,0,2,0,0,1,0,1,0,0,0,1,0,2600000
5,190.0,10,29,1,0,2,0,0,1,0,0,0,1,0,1,0,6250000
4,115.0,35,3,1,0,1,0,0,1,0,1,0,0,0,0,1,2190000
4,135.0,15,3,1,0,1,1,0,0,0,1,0,0,0,1,0,855000
4,170.0,18,7,1,0,1,0,0,1,0,0,0,1,1,0,0,3699000
4,125.0,29,2,1,0,1,0,0,1,0,1,0,0,1,0,0,2560000
4,125.0,15,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1300000
4,115.0,3,4,1,0,2,0,0,1,0,1,0,0,0,1,0,1860000
4,100.0,10,3,1,0,1,0,1,0,0,1,0,0,1,0,0,973000
8,230.0,7,3,1,0,2,1,0,0,0,1,0,0,1,0,0,1570000
5,270.0,2,25,1,0,2,0,0,1,0,0,0,1,0,0,1,6099000
4,135.0,19,3,1,0,2,0,0,1,0,1,0,0,1,0,0,3690000
4,140.0,16,4,1,0,2,0,1,0,0,1,0,0,1,0,0,3620000
4,130.0,25,8,1,0,1,0,0,1,0,0,1,0,1,0,0,3475000
4,175.0,22,3,1,0,1,0,0,1,0,1,0,0,1,0,0,3350000
4,125.0,30,3,1,0,1,0,0,1,0,0,1,0,1,0,0,3250000
4,130.0,23,3,1,0,1,0,0,1,0,0,1,0,1,0,0,2720000
2,95.0,24,3,1,1,1,0,1,0,0,1,0,0,1,0,0,1320000
4,130.0,15,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1199000
4,145.0,25,14,1,0,1,0,0,1,0,0,1,0,0,1,0,2300000
4,125.0,22,2,1,0,1,0,0,1,0,1,0,0,0,0,1,2300000
4,120.0,28,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1490000
3,100.0,16,5,0,0,1,0,1,0,0,1,0,0,1,0,0,795000
5,180.0,5,4,1,0,2,0,0,1,0,1,0,0,0,1,0,1400000
5,185.0,12,12,1,1,2,0,1,0,0,0,1,0,0,0,1,6250000
4,230.0,12,10,1,0,2,0,0,1,0,1,0,0,0,0,1,5500000
5,190.0,3,17,1,0,2,0,0,1,0,1,0,0,1,0,0,3275000
4,135.0,25,2,1,0,1,0,0,1,0,1,0,0,1,0,0,2560000
5,220.0,25,2,1,1,2,0,0,1,0,1,0,0,0,0,1,3250000
6,260.0,26,3,1,0,3,0,0,1,0,1,0,0,1,0,0,3495000
4,130.0,11,3,1,0,1,0,0,1,0,1,0,0,0,0,1,2250000
4,136.0,21,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2100000
3,90.0,35,3,1,0,1,0,1,0,0,1,0,0,0,1,0,1650000
5,200.0,4,9,1,0,2,0,0,1,0,0,0,1,0,1,0,2250000
3,115.0,15,3,1,0,1,0,1,0,0,1,0,0,1,0,0,795000
4,135.0,6,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1850000
4,125.0,16,3,1,1,1,0,0,1,0,1,0,0,0,1,0,1748000
3,75.0,10,6,1,0,1,0,1,0,0,1,0,0,1,0,0,1028000
5,172.0,4,8,0,0,2,0,0,1,0,0,0,1,0,0,1,2600000
4,130.0,15,2,1,0,1,0,0,1,0,0,0,1,1,0,0,2015000
5,220.0,9,7,1,0,2,0,0,1,0,0,0,1,0,1,0,4900000
4,165.0,6,11,1,0,2,0,0,1,0,0,0,1,0,1,0,3179000
4,110.0,45,4,1,0,1,0,1,0,0,1,0,0,1,0,0,4200000
5,175.0,11,13,1,0,2,0,0,1,0,0,0,1,0,1,0,3649000
5,180.0,7,7,1,0,2,0,0,1,0,1,0,0,0,1,0,3549000
4,120.0,27,4,1,0,1,0,0,1,0,1,0,0,0,1,0,2300000
3,90.0,6,3,1,0,1,0,0,1,0,1,0,0,0,1,0,3350000
4,130.0,30,2,1,0,1,0,0,1,0,1,0,0,1,0,0,2695000
3,125.0,25,2,1,0,1,0,0,1,0,1,0,0,1,0,0,2290000
4,130.0,23,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2580000
4,130.0,25,8,1,0,1,0,0,1,0,1,0,0,1,0,0,2450000
4,140.0,25,6,1,0,1,0,0,1,0,0,1,0,1,0,0,2625000
4,140.0,13,4,1,0,1,0,0,1,0,1,0,0,1,0,0,3100000
4,115.0,5,3,1,0,1,0,1,0,0,1,0,0,0,1,0,1300000
4,130.0,5,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1539000
4,100.0,28,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1590000
4,105.0,15,3,1,1,1,0,1,0,0,1,0,0,1,0,0,1400000
4,155.0,13,4,1,1,1,0,1,0,0,1,0,0,0,0,1,1849000
4,110.0,25,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1375000
5,220.0,5,18,1,0,2,0,0,1,0,0,0,1,1,0,0,3600000
5,180.0,4,13,1,0,2,0,0,1,0,0,0,1,0,1,0,2299000
4,140.0,25,6,1,0,1,0,0,1,0,0,1,0,1,0,0,2625000
3,100.0,30,3,1,0,1,1,0,0,0,1,0,0,0,1,0,875000
4,130.0,25,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2150000
4,130.0,29,2,1,0,1,0,0,1,0,1,0,0,1,0,0,2560000
5,225.0,18,3,1,0,2,0,0,1,0,1,0,0,0,0,1,2250000
4,110.0,25,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1495000
4,168.0,1,21,1,0,2,0,0,1,0,0,0,1,1,0,0,3089000
4,135.0,16,3,1,0,1,0,0,0,1,0,1,0,1,0,0,2075000
4,155.0,17,5,1,0,2,0,0,1,0,1,0,0,0,0,1,2930000
5,175.0,3,6,1,0,2,0,0,1,0,0,0,1,0,1,0,3050000
4,175.0,16,6,1,0,1,1,0,0,0,1,0,0,0,1,0,1700000
5,178.0,3,6,1,0,2,0,0,1,0,0,0,1,0,1,0,2875000
5,185.0,10,8,1,0,2,0,0,1,0,1,0,0,0,1,0,3000000
5,185.0,10,8,1,0,2,0,0,1,0,1,0,0,0,1,0,3100000
32,130.0,3,5,1,0,1,0,0,1,0,1,0,0,0,0,1,1600000
4,130.0,31,7,1,0,1,0,0,1,0,1,0,0,0,0,1,3450000
4,125.0,21,4,1,0,1,0,0,1,0,1,0,0,0,0,1,1259000
4,130.0,17,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1875000
6,300.0,22,3,1,0,3,0,0,0,1,1,0,0,0,1,0,3600000
5,180.0,4,4,1,0,2,0,0,1,0,1,0,0,1,0,0,2550000
3,100.0,6,4,1,0,1,0,1,0,0,1,0,0,0,0,1,1079000
4,150.0,17,4,1,0,2,0,0,1,0,1,0,0,1,0,0,3000000
4,150.0,15,4,1,0,1,0,0,1,0,1,0,0,0,0,1,3000000
4,130.0,18,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1519000
4,120.0,25,4,1,0,1,0,0,1,0,0,1,0,0,0,1,2175000
3,102.0,2,14,1,0,2,0,0,1,0,0,0,1,0,1,0,3050000
4,178.0,4,12,1,0,2,0,0,1,0,0,0,1,0,1,0,4849000
4,170.0,10,6,1,0,2,0,0,1,0,1,0,0,1,0,0,3179000
4,130.0,1,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1743000
5,185.0,1,13,1,0,2,0,0,1,0,1,0,0,1,0,0,2850000
5,200.0,4,16,1,0,2,0,0,1,0,0,1,0,0,0,1,3600000
4,125.0,26,3,1,0,2,1,0,0,0,1,0,0,1,0,0,2650000
4,110.0,15,5,1,0,1,0,1,0,0,1,0,0,1,0,0,1000000
4,120.0,22,4,1,0,1,0,1,0,0,1,0,0,1,0,0,1375000
5,180.0,6,5,1,0,2,0,0,1,0,1,0,0,0,0,1,3095000
3,130.0,5,2,1,0,1,0,1,0,0,1,0,0,1,0,0,888000
4,140.0,4,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1849000
4,110.0,22,2,1,0,1,1,0,0,0,1,0,0,1,0,0,1235000
4,110.0,25,4,1,0,1,0,0,1,0,1,0,0,1,0,0,2150000
4,170.0,5,11,1,0,2,0,0,1,0,1,0,0,1,0,0,2350000
4,150.0,8,8,1,0,2,0,0,1,0,0,0,1,1,0,0,2295000
5,140.0,7,3,1,0,2,0,0,1,0,1,0,0,0,0,1,1385000
4,135.0,16,3,1,0,2,0,1,0,0,1,0,0,1,0,0,2490000
5,175.0,4,10,1,0,2,0,0,1,0,0,0,1,0,0,1,3350000
8,210.0,5,8,1,0,2,0,0,1,0,0,0,1,1,0,0,4250000
4,130.0,11,3,1,0,2,0,0,1,0,1,0,0,0,0,1,1730000
3,100.0,28,2,1,0,1,1,0,0,0,1,0,0,0,1,0,875000
4,120.0,30,4,1,0,1,0,0,1,0,1,0,0,0,1,0,1550000
4,110.0,27,4,1,0,1,0,0,1,0,0,1,0,0,1,0,1450000
4,125.0,28,5,1,0,2,1,0,0,0,1,0,0,1,0,0,2650000
5,188.0,3,25,1,0,2,0,0,1,0,0,1,0,0,0,1,4100000
5,200.0,4,16,1,0,2,0,0,1,0,0,0,1,1,0,0,3495000
4,130.0,11,3,1,0,2,0,0,1,0,1,0,0,0,0,1,1730000
4,125.0,25,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1350000
4,110.0,28,4,1,0,1,0,0,1,0,0,1,0,0,0,1,1675000
4,125.0,20,3,1,0,1,0,1,0,0,1,0,0,0,0,1,1499000
4,115.0,10,3,1,0,1,0,1,0,0,1,0,0,1,0,0,849000
4,110.0,16,3,1,0,1,1,0,0,0,1,0,0,0,1,0,849000
4,150.0,12,8,1,0,2,0,0,1,0,0,0,1,1,0,0,2295000
2,95.0,24,3,1,1,1,0,1,0,0,1,0,0,1,0,0,1320000
4,110.0,25,3,1,0,1,0,1,0,0,1,0,0,0,1,0,1200000
4,130.0,13,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1599000
4,122.0,11,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1680000
4,125.0,25,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1429000
4,125.0,15,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1595000
4,130.0,25,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1400000
3,105.0,6,3,1,0,1,0,1,0,0,1,0,0,0,1,0,949000
4,135.0,10,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1789000
4,150.0,5,5,1,0,1,0,0,1,0,1,0,0,0,0,1,1850000
5,210.0,10,10,1,0,2,0,0,1,0,1,0,0,1,0,0,7950000
4,100.0,15,4,1,0,1,0,1,0,0,1,0,0,0,1,0,930000
4,175.0,5,8,1,0,2,0,0,1,0,0,0,1,1,0,0,2550000
3,100.0,60,5,1,0,1,0,0,1,0,0,1,0,0,1,0,1600000
3,95.0,12,3,1,0,1,0,1,0,0,1,0,0,1,0,0,1029000
4,150.0,10,4,1,0,1,0,0,1,0,1,0,0,0,0,1,1975000
4,260.0,10,3,1,0,2,0,0,1,0,1,0,0,0,0,1,2149000
3,80.0,40,3,1,1,1,0,1,0,0,0,1,0,0,1,0,2100000
3,110.0,15,3,1,0,1,0,1,0,0,1,0,0,0,0,1,1180000
4,138.0,3,3,0,0,1,0,0,1,0,1,0,0,1,0,0,1690000
5,200.0,12,6,1,0,2,0,0,1,0,1,0,0,1,0,0,2475000
4,100.0,30,4,1,0,1,0,1,0,0,0,1,0,0,0,1,2100000
4,120.0,20,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1135000
4,130.0,15,5,1,0,1,1,0,0,0,1,0,0,0,1,0,1210000
4,120.0,30,10,1,0,1,0,0,1,0,1,0,0,1,0,0,2445000
5,220.0,2,2,1,0,3,0,0,1,0,1,0,0,0,0,1,5250000
4,125.0,28,5,1,0,1,0,1,0,0,1,0,0,0,1,0,1550000
2,52.0,4,13,0,0,1,0,0,1,0,0,0,1,0,1,0,1975000
4,125.0,25,3,1,0,1,0,0,1,0,1,0,0,0,1,0,2700000
3,130.0,8,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1297000
6,280.0,12,4,1,0,3,0,0,1,0,1,0,0,1,0,0,2825000
4,120.0,7,3,1,0,1,1,0,0,0,1,0,0,0,1,0,1500000
4,120.0,16,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1300000
5,210.0,7,33,1,0,2,0,0,1,0,0,0,1,1,0,0,9270000
3,105.0,5,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1275000
7,330.0,4,9,1,0,4,0,0,0,1,1,0,0,1,0,0,3099000
4,125.0,18,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1625000
3,80.0,26,3,1,0,1,1,0,0,0,1,0,0,0,0,1,665000
4,115.0,31,3,1,0,1,0,1,0,0,1,0,0,1,0,0,1810000
5,243.0,4,12,1,0,3,0,0,1,0,0,0,1,0,0,1,5650000
4,130.0,15,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1790000
4,110.0,15,4,1,0,1,0,0,1,0,1,0,0,0,1,0,1125000
3,120.0,30,4,1,0,1,0,0,1,0,0,1,0,0,0,1,2000000
5,190.0,14,4,1,0,2,0,0,1,0,1,0,0,0,1,0,4625000
4,165.0,1,12,1,0,2,0,0,1,0,1,0,0,1,0,0,2130000
4,154.0,18,4,1,0,1,0,0,1,0,1,0,0,0,1,0,2350000
4,190.0,15,9,1,0,1,0,0,1,0,0,1,0,0,0,1,3150000
2,70.0,5,4,1,0,1,0,0,1,0,1,0,0,0,1,0,1250000
3,90.0,25,3,1,0,1,0,1,0,0,1,0,0,1,0,0,1950000
4,130.0,10,11,1,0,1,0,0,1,0,0,1,0,1,0,0,3300000
3,90.0,30,6,1,0,1,1,0,0,0,1,0,0,0,1,0,840000
4,100.0,20,3,1,0,1,0,1,0,0,1,0,0,0,1,0,925000
3,110.0,25,4,1,1,1,1,0,0,0,1,0,0,0,1,0,1340000
6,200.0,28,3,1,0,2,0,1,0,0,1,0,0,0,0,1,4250000
3,120.0,15,4,1,0,1,0,0,1,0,1,0,0,0,0,1,1100000
4,110.0,25,10,1,0,1,0,0,1,0,0,1,0,0,1,0,2150000
4,120.0,25,5,1,0,1,0,1,0,0,0,1,0,0,1,0,2575000
4,125.0,20,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1129000
3,95.0,16,3,1,0,1,0,1,0,0,1,0,0,1,0,0,889000
4,110.0,6,3,1,0,1,0,1,0,0,1,0,0,0,1,0,775000
4,145.0,30,3,1,0,1,0,0,1,0,0,1,0,1,0,0,3475000
4,125.0,8,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1439000
4,145.0,17,4,1,0,2,0,0,1,0,1,0,0,1,0,0,2789000
5,185.0,7,11,1,0,2,0,0,1,0,0,0,1,0,0,1,4050000
3,110.0,30,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1489000
3,100.0,20,4,1,0,1,0,1,0,0,1,0,0,0,1,0,698000
4,140.0,7,5,1,0,1,0,0,1,0,1,0,0,0,0,1,1750000
4,130.0,25,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1380000
4,150.0,10,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1450000
4,140.0,3,15,1,0,2,0,0,1,0,1,0,0,0,0,1,1200000
4,130.0,18,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1279000
4,154.0,18,4,1,0,1,0,0,1,0,1,0,0,0,1,0,2550000
3,120.0,15,6,1,0,1,1,0,0,0,1,0,0,0,1,0,1075000
4,120.0,20,4,1,0,1,0,1,0,0,1,0,0,0,1,0,1200000
4,155.0,13,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2350000
4,140.0,29,6,1,0,1,0,0,1,0,0,1,0,1,0,0,2625000
4,130.0,40,7,1,0,1,0,0,1,0,0,1,0,1,0,0,2275000
4,135.0,25,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2550000
4,125.0,4,5,1,0,1,0,0,1,0,1,0,0,0,0,1,1165000
5,250.0,13,23,1,0,2,0,0,1,0,0,0,1,1,0,0,10400000
4,130.0,35,4,1,0,1,0,0,1,0,1,0,0,0,0,1,3000000
4,125.0,15,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1850000
3,105.0,25,3,1,1,1,0,0,1,0,1,0,0,0,1,0,2750000
4,125.0,32,4,1,0,1,0,0,0,1,1,0,0,0,0,1,4150000
4,120.0,25,3,1,0,1,0,1,0,0,1,0,0,0,1,0,2000000
4,120.0,4,22,1,0,1,0,0,1,0,0,0,1,0,0,1,2725000
4,150.0,5,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1609000
7,200.0,5,3,1,0,2,0,0,1,0,1,0,0,1,0,0,1579000
3,150.0,14,14,1,0,1,0,1,0,0,0,0,1,0,0,1,3050000
3,95.0,26,3,1,1,1,0,1,0,0,1,0,0,0,1,0,1370000
3,90.0,30,4,1,0,1,1,0,0,0,0,1,0,1,0,0,1450000
5,160.0,22,4,1,0,1,0,0,1,0,1,0,0,1,0,0,2250000
7,350.0,5,11,1,0,3,0,0,1,0,0,0,1,0,1,0,3400000
5,250.0,15,3,1,0,2,0,0,1,0,1,0,0,0,0,1,1670000
3,85.0,35,14,1,0,1,0,0,1,0,1,0,0,0,1,0,1950000
4,125.0,25,4,1,0,1,0,0,1,0,1,0,0,1,0,0,949000
4,145.0,5,3,1,0,1,0,1,0,0,1,0,0,0,1,0,4550000
4,125.0,13,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1470000
4,125.0,13,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1470000
5,170.0,3,14,1,0,2,0,0,1,0,0,0,1,0,0,1,4650000
4,125.0,15,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1590000
5,165.0,1,16,1,0,1,0,0,1,0,0,0,1,1,0,0,3099000
4,125.0,24,4,1,0,1,0,0,1,0,1,0,0,1,0,0,949000
6,260.0,25,3,1,0,3,0,0,0,1,1,0,0,0,0,1,1850000
4,176.0,9,4,1,1,2,0,0,1,0,1,0,0,0,0,1,2350000
5,200.0,15,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1450000
4,135.0,35,3,1,0,1,0,0,1,0,1,0,0,1,0,0,3500000
4,145.0,40,4,1,0,1,0,0,1,0,0,1,0,0,0,1,3200000
3,125.0,6,4,1,0,2,0,1,0,0,1,0,0,1,0,0,3590000
4,125.0,27,5,1,0,1,0,0,1,0,1,0,0,0,0,1,1945000
4,130.0,55,3,1,1,1,0,0,1,0,1,0,0,0,1,0,3750000
4,125.0,15,4,1,0,1,0,1,0,0,1,0,0,0,0,1,1650000
4,140.0,15,3,1,0,1,0,1,0,0,1,0,0,0,0,1,1875000
4,160.0,18,3,1,0,2,0,0,1,0,1,0,0,0,1,0,2200000
4,100.0,35,3,1,0,1,0,1,0,0,0,1,0,0,1,0,2050000
4,125.0,14,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1380000
4,150.0,15,5,1,0,2,0,0,1,0,1,0,0,0,1,0,3950000
3,105.0,35,3,1,0,1,0,1,0,0,1,0,0,1,0,0,1149000
4,180.0,25,7,1,0,1,0,0,1,0,1,0,0,0,1,0,3950000
5,185.0,5,11,1,0,2,0,0,1,0,0,0,1,1,0,0,2890000
4,110.0,23,10,1,0,1,0,0,1,0,1,0,0,0,0,1,2250000
5,130.0,20,3,1,0,2,0,1,0,0,1,0,0,0,1,0,1950000
4,135.0,28,3,1,0,1,0,0,1,0,1,0,0,0,0,1,2499000
4,115.0,35,3,1,0,1,0,0,0,1,1,0,0,0,1,0,1310000
4,130.0,15,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1485000
