District,Neighborhood,Num_Of_Room,Area,Age,Apt_Floor,Credit_Eli,Items,Num_of_Bath,Floor_basement,Floor_first floor,Floor_interstage,Floor_top floor,Heat_type_Kombi,Heat_type_Merkezi,Heat_type_Merkezi (Pay Ölçer),Usage_Boş,Usage_Kiracılı,Usage_Mülk Sahibi,Price
Çankaya,Kavaklıdere,4,110.0,3,3,1,1,1,0,1,0,0,1,0,0,1,0,0,1975000
Polatlı,Cumhuriyet,4,140.0,16,4,1,0,1,0,0,1,0,1,0,0,0,1,0,850000
Sincan,Plevne,3,100.0,19,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1150000
Çankaya,Yukarı Bahçelievler,4,160.0,37,3,1,0,1,0,0,1,0,0,1,0,1,0,0,3500000
Mamak,Derbent,3,100.0,3,23,1,0,1,0,0,1,0,1,0,0,0,1,0,998000
Çankaya,Şehit Cevdet Özdemir,3,100.0,25,2,1,0,1,1,0,0,0,1,0,0,1,0,0,1525000
Çankaya,Keklik Pınarı,4,130.0,18,10,1,0,2,0,0,1,0,0,1,0,1,0,0,2480000
Çankaya,Harbiye,4,130.0,25,3,1,0,1,0,0,1,0,0,1,0,1,0,0,2450000
Çankaya,Harbiye,4,130.0,25,3,1,0,1,0,0,1,0,0,1,0,1,0,0,2450000
Çankaya,Keklik Pınarı,4,130.0,18,10,1,0,2,0,0,1,0,0,1,0,1,0,0,2480000
Çankaya,Huzur,4,135.0,20,7,1,0,2,0,0,1,0,1,0,0,1,0,0,3650000
Yenimahalle,Demetevler,4,125.0,23,6,1,0,1,0,0,1,0,1,0,0,0,1,0,1750000
Etimesgut,Bağlıca,5,240.0,5,13,1,0,2,0,0,1,0,0,0,1,0,1,0,6600000
Sincan,Tandoğan,4,140.0,14,3,1,0,1,0,1,0,0,1,0,0,0,1,0,935000
Çankaya,Kocatepe,5,155.0,40,8,1,0,1,0,0,1,0,1,0,0,1,0,0,3175000
Çankaya,Aziziye,4,135.0,32,3,1,0,1,0,0,1,0,1,0,0,1,0,0,3475000
Çankaya,Kırkkonaklar,4,165.0,4,5,1,1,1,0,0,1,0,1,0,0,1,0,0,2750000
Etimesgut,Bağlıca,5,190.0,6,10,1,0,2,0,0,1,0,0,0,1,0,0,1,4050000
Mamak,Bahçelerüstü,4,120.0,9,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1460000
Keçiören,Ovacık,5,190.0,2,16,1,1,2,0,0,1,0,0,0,1,0,0,1,4000000
Çankaya,Güzeltepe,4,110.0,37,8,1,0,1,0,0,1,0,0,1,0,0,1,0,3200000
Çankaya,Emek,4,120.0,40,16,1,0,1,0,0,1,0,0,1,0,0,1,0,3450000
Çankaya,Emek,5,165.0,55,3,1,0,1,0,0,1,0,1,0,0,1,0,0,3700000
Çankaya,İlkbahar,4,120.0,6,29,1,0,1,0,0,1,0,0,0,1,0,1,0,3825000
Çankaya,Remzi Oğuz Arık,3,100.0,45,6,1,0,1,0,0,1,0,0,1,0,1,0,0,2800000
Çankaya,Aydınlar,4,145.0,26,2,1,0,2,0,0,1,0,1,0,0,1,0,0,2975000
Çankaya,Karapınar,4,155.0,18,4,1,0,2,0,0,1,0,1,0,0,1,0,0,2475000
Çankaya,İlkadım,4,130.0,27,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2650000
Çankaya,Bağcılar,2,103.0,17,6,1,0,1,0,0,1,0,0,0,1,0,1,0,3575000
Mamak,Abidinpaşa,3,105.0,25,3,1,0,1,0,1,0,0,1,0,0,1,0,0,839000
