District,Neighborhood,Num_Of_Room,Area,Age,Apt_Floor,Credit_Eli,Items,Num_of_Bath,Floor_basement,Floor_first floor,Floor_interstage,Floor_top floor,Heat_type_Kombi,Heat_type_Merkezi,Heat_type_Merkezi (Pay Ölçer),Usage_Boş,Usage_Kiracılı,Usage_Mülk Sahibi,Price
Yenimahalle,Tepealtı,4,150.0,21,3,1,0,1,0,0,1,0,1,0,0,0,0,1,2450000
Pursaklar,Mimar Sinan,3,110.0,15,3,1,0,1,0,1,0,0,1,0,0,1,0,0,795000
Çankaya,Ayrancı,4,135.0,45,4,1,0,1,0,0,1,0,0,1,0,1,0,0,3100000
Keçiören,Esertepe,4,130.0,25,11,0,0,1,0,0,1,0,1,0,0,1,0,0,1750000
Çankaya,Birlik,2,90.0,3,4,1,0,1,0,0,1,0,0,1,0,0,1,0,1835000
Mamak,Abidinpaşa,3,90.0,30,3,1,0,1,0,1,0,0,1,0,0,1,0,0,775000
Sincan,Alcı,4,145.0,1,7,1,0,2,0,0,1,0,1,0,0,1,0,0,1350000
Çankaya,Umut,4,110.0,31,3,1,0,1,0,1,0,0,1,0,0,0,0,1,1500000
Çankaya,Metin Oktay,5,115.0,1,6,1,0,2,0,0,1,0,1,0,0,0,0,1,1790000
Keçiören,Şenlik,4,125.0,40,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1750000
Pursaklar,Yunus Emre,4,125.0,11,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1790000
Mamak,Altınevler,3,95.0,10,14,1,0,1,0,0,0,1,0,0,1,0,1,0,1290000
Keçiören,Uyanış,4,125.0,14,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1549000
Sincan,Mareşal Çakmak,4,110.0,27,4,1,0,1,0,0,1,0,1,0,0,0,1,0,1360000
Polatlı,Kurtuluş,4,170.0,4,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1350000
Mamak,Durali Alıç,4,125.0,9,3,1,0,1,0,0,0,1,1,0,0,0,1,0,1545000
Sincan,Selçuklu,4,120.0,10,4,1,0,1,0,1,0,0,1,0,0,1,0,0,1249000
Etimesgut,Yapracık,3,94.0,10,11,1,0,1,0,0,1,0,0,0,1,0,1,0,1250000
Yenimahalle,Yeni Batı,5,175.0,11,12,1,0,2,0,0,1,0,0,0,1,0,1,0,3250000
Çankaya,Malazgirt,4,130.0,12,4,1,0,1,0,1,0,0,1,0,0,0,1,0,1750000
Altındağ,Güneşevler,4,125.0,15,3,1,0,1,0,1,0,0,1,0,0,0,0,1,1385000
Yenimahalle,Gazi,2,75.0,17,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1600000
Çankaya,Beytepe,6,265.0,5,22,1,0,2,0,0,1,0,0,0,1,0,0,1,9700000
Yenimahalle,Yeni Batı,4,100.0,2,15,1,0,2,0,0,1,0,0,0,1,0,0,1,3650000
Çankaya,Konutkent,2,80.0,2,30,1,0,11,0,0,1,0,0,0,1,0,1,0,2950000
Keçiören,Sancaktepe,4,130.0,7,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1850000
Çankaya,Göktürk,4,125.0,15,3,1,0,1,0,0,0,1,1,0,0,0,1,0,1850000
Çankaya,Kazım Özalp,5,160.0,35,3,1,0,1,0,0,1,0,0,1,0,0,0,1,3100000
Yenimahalle,Gazi,4,115.0,35,3,1,0,1,0,1,0,0,1,0,0,0,1,0,1000000
Etimesgut,Ayyıldız,4,110.0,22,5,1,0,1,0,0,1,0,1,0,0,1,0,0,1175000
Pursaklar,Fatih,3,120.0,16,9,0,0,1,0,0,1,0,1,0,0,0,1,0,1100000
Sincan,Mustafa Kemal,4,140.0,5,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1469000
Çankaya,Bahçelievler,5,220.0,35,4,1,0,1,0,0,0,1,1,0,0,0,1,0,3250000
Çankaya,Emek,3,85.0,40,3,1,1,1,0,0,1,0,1,0,0,1,0,0,2550000
Keçiören,19 Mayıs,4,125.0,25,3,1,0,1,0,1,0,0,1,0,0,0,1,0,900000
Keçiören,Şenlik,4,125.0,35,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1790000
Sincan,Tandoğan,4,145.0,25,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1129000
Sincan,Mustafa Kemal,3,90.0,5,4,1,0,2,0,1,0,0,1,0,0,0,1,0,960000
Mamak,Diriliş,4,130.0,5,12,1,0,1,0,0,1,0,0,0,1,0,1,0,1650000
Mamak,Gülveren,6,230.0,16,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1800000
Etimesgut,Güzelkent,4,135.0,25,5,1,0,1,0,0,0,1,1,0,0,0,1,0,1575000
Etimesgut,Turkuaz,4,130.0,10,12,1,0,1,0,0,1,0,0,0,1,0,1,0,1715000
Çankaya,Huzur,3,95.0,1,5,1,0,1,0,0,1,0,1,0,0,1,0,0,2750000
Yenimahalle,Turgut Özal,5,186.0,2,15,1,0,2,0,0,1,0,0,0,1,1,0,0,4350000
Çankaya,Çiğdem,6,240.0,26,4,1,0,3,0,0,1,0,1,0,0,0,0,1,4600000
Sincan,Selçuklu,4,130.0,24,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1399000
Çubuk,Cumhuriyet,3,100.0,18,3,1,0,1,0,1,0,0,1,0,0,1,0,0,735000
Çankaya,Birlik,5,165.0,1,3,1,0,2,0,0,1,0,1,0,0,1,0,0,4875000
Yenimahalle,Ostim OSB,4,130.0,20,10,1,0,2,0,0,1,0,1,0,0,0,1,0,3000000
Sincan,Menderes,4,135.0,2,11,1,0,2,0,0,1,0,0,1,0,1,0,0,2250000
Çankaya,Kırkkonaklar,5,160.0,15,4,1,0,1,1,0,0,0,1,0,0,0,0,1,2250000
Pursaklar,Merkez,4,110.0,11,3,1,0,1,1,0,0,0,1,0,0,0,0,1,975000
Mamak,Cengizhan,5,225.0,1,17,1,0,2,0,0,1,0,0,0,1,1,0,0,4200000
Çankaya,İleri,5,140.0,35,3,1,0,1,1,0,0,0,1,0,0,1,0,0,1615000
Yenimahalle,Ergazi,2,58.0,3,10,1,0,1,0,0,1,0,0,0,1,0,0,1,1710000
Polatlı,İstiklal,4,143.0,4,7,1,0,2,0,0,1,0,1,0,0,0,0,1,1649000
Altındağ,Örnek,3,100.0,2,13,1,0,1,0,1,0,0,0,0,1,0,1,0,1850000
Çankaya,Malazgirt,4,130.0,15,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2100000
Etimesgut,Bağlıca,7,425.0,2,6,1,0,4,0,0,1,0,1,0,0,0,1,0,4000000
Çankaya,Cevizlidere,4,140.0,14,4,1,0,2,0,0,1,0,1,0,0,0,1,0,3300000
Mamak,Hürel,4,145.0,15,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1450000
Keçiören,Etlik,4,135.0,15,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1789000
Etimesgut,Atakent,3,90.0,17,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1150000
Keçiören,Osmangazi,3,145.0,8,8,1,0,1,1,0,0,0,1,0,0,1,0,0,1400000
Keçiören,Karargahtepe,3,85.0,26,3,1,0,1,0,1,0,0,1,0,0,0,0,1,1148000
Etimesgut,Şehit Osman Avcı,3,95.0,6,8,0,0,1,0,0,1,0,0,0,1,0,0,1,2175000
Mamak,Kutlu,4,120.0,5,7,1,0,1,0,0,0,1,1,0,0,0,1,0,1575000
Keçiören,19 Mayıs,4,130.0,28,6,1,0,1,0,0,1,0,1,0,0,0,1,0,3000000
Yenimahalle,Çarşı,3,130.0,20,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2150000
Altındağ,Karapürçek,4,135.0,6,6,1,0,1,0,1,0,0,1,0,0,0,0,1,1190000
Sincan,Mareşal Çakmak,4,125.0,23,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1325000
Mamak,General Zeki Doğan,4,130.0,16,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1570000
Yenimahalle,Pamuklar,4,195.0,5,13,1,0,2,0,0,1,0,0,0,1,1,0,0,3150000
Mamak,Mehtap,4,120.0,25,5,1,0,1,0,0,1,0,1,0,0,0,0,1,1350000
Keçiören,Esertepe,4,145.0,20,4,1,0,1,1,0,0,0,1,0,0,0,0,1,1165000
Mamak,Akdere,4,140.0,20,7,1,0,1,0,0,1,0,1,0,0,0,1,0,1339000
Yenimahalle,Turgut Özal,4,130.0,15,4,1,0,1,0,0,1,0,1,0,0,0,1,0,2150000
Keçiören,Kalaba,4,120.0,26,2,1,0,1,0,0,1,0,1,0,0,1,0,0,1515000
Çankaya,Dodurga,6,280.0,3,25,1,0,3,0,0,1,0,0,0,1,0,0,1,7250000
Sincan,Saraycık,3,97.0,2,8,1,0,1,0,1,0,0,0,0,1,0,1,0,1300000
Mamak,Misket,4,130.0,6,6,1,0,1,1,0,0,0,1,0,0,1,0,0,899000
Sincan,Selçuklu,4,125.0,15,4,1,1,1,0,0,1,0,1,0,0,0,0,1,1225000
Sincan,Malazgirt,4,115.0,16,5,1,0,1,0,1,0,0,1,0,0,0,0,1,1589000
Sincan,Pınarbaşı,4,125.0,7,10,1,0,2,0,0,1,0,1,0,0,1,0,0,1449000
Mamak,Bostancık,4,135.0,3,3,1,0,2,1,0,0,0,1,0,0,0,0,1,980000
Mamak,Kazım Orbay,5,190.0,11,3,1,0,2,0,0,1,0,1,0,0,0,0,1,1985000
Sincan,Plevne,4,120.0,17,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1280000
Etimesgut,Şehit Osman Avcı,5,175.0,11,8,1,0,2,0,1,0,0,0,1,0,0,0,1,3425000
Mamak,Durali Alıç,4,135.0,7,11,1,0,1,0,0,1,0,1,0,0,1,0,0,2300000
Yenimahalle,Kayalar,4,145.0,8,10,1,0,2,0,0,1,0,1,0,0,1,0,0,1950000
Çankaya,Osman Temiz,4,145.0,26,2,1,0,2,0,0,1,0,1,0,0,1,0,0,2965000
Çankaya,Öveçler,6,330.0,8,4,1,0,2,0,0,1,0,1,0,0,0,0,1,5350000
Mamak,Cengizhan,4,135.0,3,12,1,0,2,0,0,1,0,0,0,1,1,0,0,1859000
Çankaya,Harbiye,4,145.0,30,3,1,0,1,0,0,1,0,0,1,0,1,0,0,3275000
Çankaya,Şehit Cevdet Özdemir,3,100.0,20,3,1,0,1,0,1,0,0,1,0,0,0,1,0,1460000
Sincan,Selçuklu,4,125.0,22,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1489000
Keçiören,Aşağı Eğlence,6,220.0,21,3,1,0,2,0,0,1,0,1,0,0,1,0,0,2900000
Mamak,Ege,4,140.0,8,8,1,0,2,0,0,1,0,0,0,1,1,0,0,2790000
Sincan,Osmanlı,4,120.0,20,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1499000
Sincan,Gökçek,4,110.0,31,5,1,0,1,0,0,1,0,1,0,0,0,0,1,1175000
Keçiören,Hisar,4,130.0,7,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1595000
Etimesgut,Elvan,4,110.0,15,4,1,0,1,0,1,0,0,1,0,0,0,1,0,1050000
Etimesgut,Topçu,6,350.0,13,4,1,0,2,0,0,1,0,1,0,0,0,0,1,2850000
Sincan,Mareşal Çakmak,4,125.0,25,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1195000
Keçiören,Atapark,3,115.0,7,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1199000
Mamak,Bahçelerüstü,4,125.0,15,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1990000
Keçiören,Etlik,4,135.0,26,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2250000
Pursaklar,Merkez,5,160.0,5,3,1,0,3,0,0,1,0,1,0,0,1,0,0,1950000
Çankaya,Mutlukent,4,110.0,21,5,0,0,1,0,0,1,0,0,1,0,0,1,0,2715000
Keçiören,Şefkat,6,250.0,20,3,1,0,2,0,0,1,0,1,0,0,0,0,1,2600000
Çankaya,İşçi Blokları,4,120.0,26,10,1,0,1,0,0,1,0,0,1,0,0,1,0,3200000
Mamak,Mehtap,4,120.0,25,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1650000
Keçiören,Köşk,4,125.0,30,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1690000
Keçiören,19 Mayıs,5,150.0,3,16,1,0,1,0,0,1,0,1,0,0,0,1,0,3800000
Pursaklar,Saray Cumhuriyet,3,110.0,2,6,1,0,2,0,1,0,0,1,0,0,1,0,0,1800000
Çankaya,Sokullu Mehmet Paşa,6,200.0,25,3,1,0,2,0,0,1,0,1,0,0,1,0,0,3499000
Keçiören,Atapark,5,145.0,8,3,1,0,2,0,0,1,0,1,0,0,0,1,0,1900000
Mamak,Akşemsettin,4,125.0,2,16,1,0,2,0,0,1,0,1,0,0,1,0,0,2050000
Yenimahalle,Kentkoop,4,110.0,30,4,1,0,1,0,0,1,0,0,1,0,0,0,1,1980000
Altındağ,Karapürçek,5,170.0,8,3,1,0,2,0,0,1,0,1,0,0,0,1,0,1350000
Keçiören,Ayvalı,4,160.0,15,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1390000
Çankaya,İlkadım,4,125.0,25,3,1,0,2,1,0,0,0,1,0,0,1,0,0,2650000
Altındağ,Battalgazi,4,130.0,13,3,1,0,1,0,0,1,0,1,0,0,0,1,0,975000
Keçiören,Atapark,4,135.0,4,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1849000
Keçiören,Yayla,4,125.0,20,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1890000
Çankaya,Cevizlidere,8,400.0,15,4,1,0,3,0,0,1,0,1,0,0,0,0,1,5900000
Pursaklar,Yunus Emre,4,125.0,15,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1790000
Çankaya,Dumlupınar,5,175.0,15,8,1,0,2,0,1,0,0,0,1,0,0,1,0,4600000
Mamak,Fahri Korutürk,4,145.0,2,17,0,0,1,0,0,1,0,1,0,0,1,0,0,1350000
Keçiören,Esertepe,4,130.0,7,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1049000
Çankaya,Beytepe,4,190.0,5,22,0,0,2,0,0,1,0,0,0,1,1,0,0,5632000
Yenimahalle,Serhat,4,135.0,20,7,1,0,1,0,0,1,0,1,0,0,0,0,1,2200000
Etimesgut,Şeker,3,90.0,8,12,1,0,1,0,0,1,0,0,0,1,0,1,0,1800000
Etimesgut,Alsancak,4,135.0,15,4,1,0,2,1,0,0,0,1,0,0,1,0,0,865000
Çankaya,Yukarı Bahçelievler,3,95.0,1,3,1,0,1,0,0,1,0,1,0,0,1,0,0,4650000
Yenimahalle,Serhat,4,150.0,18,8,1,0,1,0,0,1,0,1,0,0,0,0,1,2400000
Çankaya,Aşıkpaşa,3,110.0,5,4,1,0,1,0,0,1,0,1,0,0,0,1,0,2100000
Keçiören,Kalaba,4,115.0,30,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1515000
Çankaya,Aşağı Öveçler,5,200.0,15,4,1,0,2,0,0,1,0,1,0,0,0,0,1,4250000
Gölbaşı,Taşpınar,5,200.0,1,30,1,0,2,0,0,1,0,0,0,1,1,0,0,6500000
Çankaya,Kavaklıdere,3,250.0,33,5,1,0,1,0,0,1,0,0,1,0,0,0,1,2250000
Çankaya,Hilal,6,420.0,17,3,1,0,2,0,0,1,0,1,0,0,0,1,0,5900000
Çankaya,Aşağı Öveçler,4,135.0,16,4,1,0,1,0,0,1,0,1,0,0,0,1,0,3550000
Sincan,Hürriyet,2,65.0,7,3,1,0,1,0,0,1,0,1,0,0,1,0,0,380000
Gölbaşı,Seğmenler,5,180.0,10,8,1,0,2,0,0,1,0,0,0,1,0,1,0,3200000
Altındağ,Gültepe,5,270.0,11,3,1,0,2,0,0,0,1,1,0,0,0,0,1,1580000
Yenimahalle,Turgut Özal,7,280.0,10,10,1,0,3,0,0,1,0,1,0,0,0,1,0,4250000
Çankaya,Yukarı Bahçelievler,4,125.0,15,4,1,0,1,0,1,0,0,1,0,0,0,1,0,2600000
Etimesgut,Süvari,5,125.0,6,5,1,0,2,0,0,1,0,1,0,0,0,0,1,1960000
Altındağ,Örnek,4,130.0,15,12,1,0,2,0,0,1,0,1,0,0,0,0,1,2015000
Etimesgut,Bağlıca,5,180.0,5,16,1,0,2,0,0,1,0,0,0,1,0,0,1,4700000
Keçiören,Etlik,4,145.0,32,3,1,0,1,1,0,0,0,1,0,0,0,1,0,1150000
Mamak,General Zeki Doğan,3,105.0,12,3,1,0,1,0,1,0,0,1,0,0,0,1,0,770000
Yenimahalle,Yeniçağ,4,115.0,10,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1995000
Mamak,Ege,6,180.0,3,10,1,0,2,0,0,1,0,1,0,0,1,0,0,2650000
Çankaya,Yukarı Öveçler,5,170.0,20,3,1,0,2,0,0,1,0,1,0,0,0,0,1,2975000
Keçiören,Ayvalı,5,185.0,5,4,1,0,2,0,0,1,0,1,0,0,0,0,1,2590000
Yenimahalle,Batı Sitesi,4,125.0,28,5,1,0,1,0,0,1,0,0,1,0,1,0,0,2365000
Çankaya,Fidanlık,5,160.0,32,4,1,0,1,0,0,1,0,0,1,0,1,0,0,2550000
Gölbaşı,Karşıyaka,4,140.0,5,4,1,0,2,0,0,1,0,1,0,0,0,0,1,3100000
Keçiören,Aşağı Eğlence,4,140.0,35,3,1,0,1,0,0,1,0,0,1,0,0,1,0,2650000
Keçiören,Adnan Menderes,5,140.0,25,4,1,0,1,0,1,0,0,1,0,0,0,0,1,1250000
Çankaya,Harbiye,3,140.0,25,3,1,0,1,0,0,1,0,1,0,0,0,0,1,2950000
Mamak,Şahintepe,6,250.0,25,4,1,0,2,1,0,0,0,1,0,0,0,0,1,1250000
Yenimahalle,Turgut Özal,4,145.0,10,9,1,0,2,0,0,1,0,1,0,0,0,1,0,2600000
Altındağ,Aydınlıkevler,4,140.0,22,3,1,0,1,0,0,1,0,1,0,0,0,1,0,2300000
Etimesgut,Alsancak,4,110.0,16,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1280000
Keçiören,Pınarbaşı,7,320.0,14,13,1,0,3,0,0,1,0,1,0,0,0,1,0,5150000
Etimesgut,Ahi Mesut,4,175.0,14,10,1,0,2,0,0,1,0,1,0,0,1,0,0,2650000
Etimesgut,Atayurt,4,118.0,11,11,1,0,1,0,0,1,0,0,0,1,0,1,0,1450000
Çankaya,Harbiye,3,90.0,30,3,1,0,1,0,1,0,0,1,0,0,1,0,0,920000
Yenimahalle,Ostim OSB,4,145.0,14,11,1,0,2,0,0,1,0,1,0,0,0,1,0,2375000
Çankaya,Harbiye,4,150.0,30,3,1,0,2,0,0,1,0,1,0,0,1,0,0,1929000
Mamak,Mehtap,6,270.0,18,3,1,0,2,0,0,1,0,1,0,0,1,0,0,2200000
Keçiören,Osmangazi,4,130.0,5,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1649000
Sincan,Tandoğan,4,140.0,17,4,1,0,1,0,1,0,0,1,0,0,0,0,1,1397000
Keçiören,Esertepe,4,120.0,7,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1495000
Çankaya,Naci Çakır,4,115.0,22,3,1,0,1,0,1,0,0,1,0,0,0,1,0,1580000
Keçiören,Ayvalı,3,107.0,1,35,1,0,2,0,0,1,0,0,0,1,0,1,0,4225000
Sincan,Selçuklu,4,135.0,16,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1085000
Keçiören,Etlik,4,140.0,30,3,1,1,1,0,0,1,0,1,0,0,0,0,1,1650000
Çankaya,Mürsel Uluç,4,165.0,18,3,1,0,2,0,0,1,0,1,0,0,0,0,1,2387000
Çankaya,Kırkkonaklar,8,520.0,5,26,1,0,4,0,0,1,0,0,0,1,1,0,0,8850000
Keçiören,19 Mayıs,4,130.0,10,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1779000
Keçiören,Ufuktepe,4,150.0,15,7,1,0,1,0,1,0,0,1,0,0,0,0,1,1375000
Altındağ,Battalgazi,4,135.0,5,5,1,0,1,0,0,1,0,1,0,0,0,1,0,1225000
Sincan,Malazgirt,4,115.0,20,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1295000
Altındağ,Battalgazi,5,155.0,3,3,1,0,2,0,0,1,0,1,0,0,0,1,0,2250000
Keçiören,Adnan Menderes,4,120.0,25,4,1,0,1,0,1,0,0,1,0,0,1,0,0,870000
Sincan,Mustafa Kemal,4,125.0,11,5,1,0,1,0,0,1,0,1,0,0,0,0,1,1579000
Sincan,Malazgirt,4,170.0,10,5,1,0,2,0,1,0,0,1,0,0,0,0,1,965000
Keçiören,Etlik,4,125.0,21,3,1,0,1,1,0,0,0,1,0,0,1,0,0,1580000
Çankaya,Koru,5,240.0,16,4,0,0,2,0,1,0,0,1,0,0,0,0,1,9375000
Yenimahalle,Yeni Batı,6,200.0,15,7,1,0,2,0,0,1,0,1,0,0,1,0,0,3250000
Yenimahalle,Barış,4,125.0,30,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1395000
Çankaya,Kırkkonaklar,4,150.0,17,5,1,0,2,0,0,1,0,1,0,0,1,0,0,2150000
Çankaya,Birlik,4,125.0,26,10,1,0,1,0,0,1,0,0,1,0,1,0,0,2590000
Çankaya,Seyranbağları,4,130.0,25,3,1,0,1,0,0,1,0,1,0,0,0,0,1,2425000
Yenimahalle,Mehmet Akif Ersoy,4,100.0,22,15,1,0,1,0,0,1,0,0,1,0,0,1,0,2500000
Çankaya,Ümit,5,210.0,4,34,1,0,2,0,0,1,0,0,0,1,0,0,1,8900000
Çankaya,Bahçelievler,4,120.0,40,3,1,0,1,0,0,1,0,1,0,0,0,1,0,3500000
Mamak,Şahintepe,4,140.0,8,7,1,0,1,0,0,1,0,1,0,0,0,1,0,1800000
Çankaya,Metin Oktay,4,120.0,35,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1600000
Çankaya,Harbiye,2,85.0,35,3,1,0,1,0,1,0,0,1,0,0,0,1,0,1200000
Etimesgut,Şeyh Şamil,4,110.0,21,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1760000
Keçiören,Ayvalı,4,135.0,20,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1525000
Etimesgut,30 Ağustos,3,105.0,1,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2149000
Çankaya,Yaşamkent,5,210.0,5,23,0,0,2,0,0,1,0,0,0,1,0,0,1,5750000
Çankaya,Sokullu Mehmet Paşa,4,200.0,15,4,1,0,2,0,0,1,0,1,0,0,1,0,0,3985000
Sincan,Tandoğan,4,125.0,16,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1350000
Yenimahalle,Demetgül,4,130.0,26,8,1,0,1,0,0,1,0,1,0,0,0,1,0,1449900
Polatlı,Cumhuriyet,4,130.0,20,4,1,0,1,0,0,0,1,1,0,0,1,0,0,650000
Çankaya,Mürsel Uluç,4,130.0,5,4,1,0,2,0,0,1,0,1,0,0,1,0,0,2300000
Yenimahalle,Yeni Batı,4,155.0,12,14,1,0,2,0,0,1,0,1,0,0,0,1,0,1975000
Çankaya,Emek,4,120.0,32,5,1,0,1,1,0,0,0,0,1,0,0,0,1,2450000
Yenimahalle,Kardelen,4,135.0,30,8,1,0,1,0,1,0,0,0,1,0,1,0,0,1725000
Sincan,Ertuğrulgazi,4,125.0,16,4,1,0,1,0,1,0,0,0,1,0,0,1,0,750000
Mamak,Fahri Korutürk,4,135.0,8,10,1,0,2,0,0,1,0,1,0,0,0,1,0,3500000
Keçiören,Pınarbaşı,4,105.0,40,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1290000
Mamak,Tuzluçayır,4,120.0,16,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1277000
Yenimahalle,Kentkoop,4,130.0,21,5,1,0,1,0,0,1,0,0,1,0,0,0,1,2150000
Yenimahalle,Kentkoop,5,180.0,11,25,1,0,2,0,0,1,0,1,0,0,0,0,1,9400000
Sincan,Fevzi Çakmak,4,135.0,5,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1545000
Çankaya,Kültür,5,170.0,31,4,1,0,1,0,0,1,0,1,0,0,1,0,0,3250000
Yenimahalle,Ragıp Tüzün,3,100.0,25,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1360000
Çankaya,İleri,3,100.0,15,6,1,1,1,0,0,1,0,1,0,0,0,0,1,1400000
Çankaya,Bayraktar,4,140.0,25,7,1,0,1,0,1,0,0,1,0,0,0,1,0,1600000
Yenimahalle,Avcılar,4,150.0,5,13,1,0,1,0,0,1,0,1,0,0,0,0,1,2600000
Çankaya,Karapınar,4,145.0,15,5,1,0,1,0,0,1,0,1,0,0,1,0,0,2695000
Yenimahalle,İlkyerleşim,4,125.0,25,5,1,0,1,0,0,1,0,1,0,0,0,1,0,1650000
Çankaya,İlkadım,4,125.0,28,3,1,0,1,1,0,0,0,1,0,0,0,1,0,1998000
Mamak,Cengizhan,4,140.0,13,9,1,0,2,0,0,1,0,1,0,0,1,0,0,1845000
Çankaya,Birlik,4,150.0,20,3,1,0,1,0,0,1,0,1,0,0,0,1,0,3500000
Çankaya,Gaziosmanpaşa,5,250.0,311,12,1,0,2,0,0,1,0,0,1,0,1,0,0,10000000
Yenimahalle,Ragıp Tüzün,3,90.0,28,4,1,0,1,0,0,1,0,1,0,0,0,1,0,1240000
Etimesgut,Oğuzlar,4,120.0,20,5,1,0,1,0,0,1,0,1,0,0,1,0,0,1300000
Çankaya,Yukarı Bahçelievler,4,110.0,35,4,1,0,1,0,0,1,0,1,0,0,0,1,0,3500000
Çankaya,Yukarı Öveçler,4,120.0,25,2,1,0,1,0,1,0,0,1,0,0,1,0,0,1950000
Çankaya,Yukarı Bahçelievler,4,130.0,35,3,1,1,1,0,0,1,0,1,0,0,1,0,0,3800000
Keçiören,Ayvalı,4,170.0,18,7,1,0,1,0,0,1,0,1,0,0,1,0,0,3790000
Keçiören,Karakaya,4,125.0,9,4,1,0,1,0,0,1,0,1,0,0,0,0,1,1049000
Etimesgut,Süvari,4,125.0,13,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1460000
Pursaklar,Merkez,4,170.0,5,10,1,0,2,0,0,1,0,1,0,0,0,1,0,2150000
Çankaya,Yıldızevler,2,100.0,3,40,1,0,2,0,0,1,0,0,0,1,1,0,0,7050000
Çankaya,İncesu,3,80.0,30,4,1,0,1,0,1,0,0,1,0,0,0,1,0,1350000
Sincan,Saraycık,4,130.0,1,8,1,0,11,0,0,1,0,0,1,0,0,1,0,1990000
Çankaya,Ön Cebeci,2,80.0,45,4,1,1,1,0,1,0,0,1,0,0,0,1,0,1100000
Etimesgut,Atayurt,4,117.0,10,12,1,1,1,0,0,1,0,0,0,1,0,1,0,1700000
Mamak,Kutlu,4,115.0,1,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2250000
Polatlı,Gazi,4,125.0,20,4,1,0,1,0,0,1,0,1,0,0,0,0,1,695000
Yenimahalle,Kardelen,4,135.0,21,5,0,0,1,0,0,1,0,1,0,0,0,0,1,2550000
Etimesgut,Atayurt,4,117.0,10,12,1,1,1,0,0,1,0,0,0,1,0,1,0,1700000
Mamak,Kutlu,4,115.0,1,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2250000
Polatlı,Gazi,4,125.0,20,4,1,0,1,0,0,1,0,1,0,0,0,0,1,695000
Yenimahalle,Kardelen,4,135.0,21,5,0,0,1,0,0,1,0,1,0,0,0,0,1,2550000
Çankaya,Sancak,4,125.0,25,4,1,0,1,0,0,1,0,1,0,0,0,1,0,2900000
Mamak,Cengizhan,3,100.0,10,5,0,0,1,0,1,0,0,1,0,0,1,0,0,1240000
Mamak,Fahri Korutürk,3,95.0,15,3,1,0,1,1,0,0,0,1,0,0,1,0,0,860000
Çankaya,İlkbahar,2,60.0,4,5,1,1,1,0,0,1,0,0,0,1,0,1,0,1900000
